fpr,tpr,threshold
6.133088009812941e-05,0.4006889379955804,0.9999614953994751
6.133088009812941e-05,0.4012738853503185,0.9999613761901855
6.133088009812941e-05,0.4016638502534772,0.999961256980896
6.133088009812941e-05,0.40172884440400364,0.9999611377716064
6.133088009812941e-05,0.4028987391134798,0.9999610185623169
6.133088009812941e-05,0.4030287274145327,0.9999608993530273
6.133088009812941e-05,0.4030937215650591,0.9999606609344482
6.133088009812941e-05,0.4036136747692708,0.9999605417251587
6.133088009812941e-05,0.4075133238008579,0.9999604225158691
6.133088009812941e-05,0.4094631483166515,0.9999603033065796
6.133088009812941e-05,0.411542961133498,0.99996018409729
6.133088009812941e-05,0.41186793188613025,0.9999600648880005
6.133088009812941e-05,0.4119979201871832,0.9999599456787109
6.133088009812941e-05,0.412257896789289,0.9999598264694214
6.133088009812941e-05,0.4124528792408683,0.9999597072601318
6.133088009812941e-05,0.41284284414402705,0.9999595880508423
6.133088009812941e-05,0.4130378265956064,0.9999594688415527
6.133088009812941e-05,0.41336279734823866,0.9999593496322632
6.133088009812941e-05,0.41342779149876513,0.9999592304229736
6.133088009812941e-05,0.4138177564019238,0.9999589920043945
6.133088009812941e-05,0.4140777330040296,0.999958872795105
6.133088009812941e-05,0.4145326920577148,0.9999587535858154
6.133088009812941e-05,0.4147926686598206,0.9999586343765259
6.133088009812941e-05,0.41518263356297935,0.9999583959579468
6.133088009812941e-05,0.41524762771350576,0.9999582767486572
6.133088009812941e-05,0.41550760431561157,0.9999581575393677
6.133088009812941e-05,0.4158975692187703,0.9999580383300781
6.133088009812941e-05,0.41609255167034964,0.9999579191207886
6.133088009812941e-05,0.4169374756271936,0.999957799911499
6.133088009812941e-05,0.41784739373456387,0.9999576807022095
6.133088009812941e-05,0.41830235278824907,0.9999575614929199
6.133088009812941e-05,0.4186923176914078,0.9999574422836304
6.133088009812941e-05,0.4188223059924607,0.9999573230743408
6.133088009812941e-05,0.41901728844404,0.9999572038650513
6.133088009812941e-05,0.4190822825945665,0.9999570846557617
6.133088009812941e-05,0.4192772650461458,0.9999568462371826
6.133088009812941e-05,0.4196022357987781,0.9999567270278931
6.133088009812941e-05,0.419732224099831,0.9999566078186035
6.133088009812941e-05,0.4197972182503575,0.999956488609314
6.133088009812941e-05,0.42018718315351616,0.9999563694000244
6.133088009812941e-05,0.4203171714545691,0.9999561309814453
6.133088009812941e-05,0.421162095411413,0.9999560117721558
6.133088009812941e-05,0.42122708956193944,0.9999558925628662
6.133088009812941e-05,0.4213570778629923,0.9999557733535767
6.133088009812941e-05,0.4219420252177304,0.9999556541442871
6.133088009812941e-05,0.42200701936825685,0.9999555349349976
6.133088009812941e-05,0.42226699597036266,0.999955415725708
6.133088009812941e-05,0.42304692577668007,0.9999552965164185
6.133088009812941e-05,0.42311191992720654,0.9999551773071289
6.133088009812941e-05,0.42324190822825947,0.9999550580978394
6.133088009812941e-05,0.42350188483036527,0.9999549388885498
6.133088009812941e-05,0.42363187313141815,0.9999548196792603
6.133088009812941e-05,0.4237618614324711,0.9999545812606812
6.133088009812941e-05,0.423891849733524,0.9999544620513916
6.133088009812941e-05,0.4241518263356298,0.999954342842102
6.133088009812941e-05,0.4242818146366827,0.999954104423523
6.133088009812941e-05,0.4245417912387885,0.9999539852142334
6.133088009812941e-05,0.4249967502924737,0.9999538660049438
6.133088009812941e-05,0.42512673859352657,0.9999535083770752
6.133088009812941e-05,0.42558169764721177,0.9999533891677856
6.133088009812941e-05,0.42597166255037044,0.9999532699584961
6.133088009812941e-05,0.4262316391524763,0.9999531507492065
6.133088009812941e-05,0.4262966333030027,0.999953031539917
6.133088009812941e-05,0.4264916157545821,0.9999529123306274
